main_category_title,sub_category_title,sub_category_total,city_name
"Транспорт, перевозки",,37111,Москва
"Ремонт, строительство",,14443,Москва
Мастер на час,,2538,Москва
"Сад, благоустройство",,1800,Москва
"Красота, здоровье",,28518,Москва
Ремонт и обслуживание техники,,9481,Москва
Установка техники,,1188,Москва
"Оборудование, производство",,9086,Москва
"Обучение, курсы",,24419,Москва
Деловые услуги,,14387,Москва
"IT, интернет, телеком",,5437,Москва
"Реклама, полиграфия",,7405,Москва
Уборка,,8511,Москва
Бытовые услуги,,2850,Москва
"Праздники, мероприятия",,7663,Москва
Доставка еды и продуктов,,2876,Москва
Фото- и видеосъёмка,,7286,Москва
"Няни, сиделки",,1518,Москва
Уход за животными,,3239,Москва
Искусство,,5137,Москва
"Охрана, безопасность",,1105,Москва
"Доставка, курьеры",,645,Москва
Другое,,2816,Москва
"Транспорт, перевозки",,163,Ростов
"Ремонт, строительство",,166,Ростов
Мастер на час,,13,Ростов
"Сад, благоустройство",,25,Ростов
"Красота, здоровье",,47,Ростов
Ремонт и обслуживание техники,,25,Ростов
Установка техники,,5,Ростов
"Оборудование, производство",,27,Ростов
"Обучение, курсы",,24,Ростов
Деловые услуги,,14,Ростов
"IT, интернет, телеком",,11,Ростов
"Реклама, полиграфия",,4,Ростов
Уборка,,21,Ростов
Бытовые услуги,,15,Ростов
"Праздники, мероприятия",,16,Ростов
Доставка еды и продуктов,,4,Ростов
Фото- и видеосъёмка,,3,Ростов
"Няни, сиделки",,0,Ростов
Уход за животными,,7,Ростов
Искусство,,13,Ростов
"Охрана, безопасность",,1,Ростов
"Доставка, курьеры",,0,Ростов
Другое,,11,Ростов
"Транспорт, перевозки",,23449,Санкт-Петербург
"Ремонт, строительство",,23879,Санкт-Петербург
Мастер на час,,1664,Санкт-Петербург
"Сад, благоустройство",,1890,Санкт-Петербург
"Красота, здоровье",,22294,Санкт-Петербург
Ремонт и обслуживание техники,,5531,Санкт-Петербург
Установка техники,,380,Санкт-Петербург
"Оборудование, производство",,6483,Санкт-Петербург
"Обучение, курсы",,12383,Санкт-Петербург
Деловые услуги,,7539,Санкт-Петербург
"IT, интернет, телеком",,2378,Санкт-Петербург
"Реклама, полиграфия",,3645,Санкт-Петербург
Уборка,,5844,Санкт-Петербург
Бытовые услуги,,1927,Санкт-Петербург
"Праздники, мероприятия",,5647,Санкт-Петербург
Доставка еды и продуктов,,1934,Санкт-Петербург
Фото- и видеосъёмка,,4066,Санкт-Петербург
"Няни, сиделки",,1209,Санкт-Петербург
Уход за животными,,1939,Санкт-Петербург
Искусство,,2971,Санкт-Петербург
"Охрана, безопасность",,547,Санкт-Петербург
"Доставка, курьеры",,256,Санкт-Петербург
Другое,,1593,Санкт-Петербург
"Транспорт, перевозки",Автосервис,92,Владивосток
"Транспорт, перевозки",Аренда авто,129,Владивосток
"Транспорт, перевозки",Коммерческие перевозки,227,Владивосток
"Транспорт, перевозки",Грузчики,19,Владивосток
"Транспорт, перевозки",Переезды,101,Владивосток
"Транспорт, перевозки",Спецтехника,51,Владивосток
"Ремонт, строительство",Сборка и ремонт мебели,6,Владивосток
"Ремонт, строительство",Отделочные работы,35,Владивосток
"Ремонт, строительство",Электрика,8,Владивосток
"Ремонт, строительство",Сантехника,17,Владивосток
"Ремонт, строительство",Ремонт офиса,0,Владивосток
"Ремонт, строительство",Остекление балконов,4,Владивосток
"Ремонт, строительство",Ремонт ванной,5,Владивосток
"Ремонт, строительство","Строительство бань, саун",1,Владивосток
"Ремонт, строительство",Ремонт кухни,1,Владивосток
"Ремонт, строительство","Строительство домов, коттеджей",34,Владивосток
"Ремонт, строительство",Ремонт квартиры,25,Владивосток
Мастер на час,,20,Владивосток
"Сад, благоустройство",,7,Владивосток
"Красота, здоровье",Услуги парикмахера,25,Владивосток
"Красота, здоровье","Маникюр, педикюр",56,Владивосток
"Красота, здоровье",Макияж,13,Владивосток
"Красота, здоровье","Косметология, эпиляция",22,Владивосток
"Красота, здоровье","СПА-услуги, здоровье",16,Владивосток
"Красота, здоровье","Тату, пирсинг",7,Владивосток
"Красота, здоровье",Другое,57,Владивосток
Ремонт и обслуживание техники,Телевизоры,4,Владивосток
Ремонт и обслуживание техники,Мобильные устройства,2,Владивосток
Ремонт и обслуживание техники,Мелкая бытовая техника,1,Владивосток
Ремонт и обслуживание техники,"Фото-, аудио-, видеотехника",8,Владивосток
Ремонт и обслуживание техники,Компьютерная техника,58,Владивосток
Ремонт и обслуживание техники,Игровые приставки,0,Владивосток
Ремонт и обслуживание техники,Крупная бытовая техника,14,Владивосток
Установка техники,,5,Владивосток
"Оборудование, производство",Аренда оборудования,9,Владивосток
"Оборудование, производство",Монтаж и обслуживание оборудования,8,Владивосток
"Оборудование, производство","Производство, обработка",32,Владивосток
"Обучение, курсы",Предметы школы и ВУЗа,58,Владивосток
"Обучение, курсы",Иностранные языки,37,Владивосток
"Обучение, курсы",Вождение,4,Владивосток
"Обучение, курсы","Музыка, театр",6,Владивосток
"Обучение, курсы","Спорт, танцы",4,Владивосток
"Обучение, курсы","Рисование, дизайн, рукоделие",3,Владивосток
"Обучение, курсы",Профессиональная подготовка,27,Владивосток
"Обучение, курсы","Детское развитие, логопеды",11,Владивосток
"Обучение, курсы",Другое,41,Владивосток
Деловые услуги,"Бухгалтерия, финансы",17,Владивосток
Деловые услуги,Консультирование,94,Владивосток
Деловые услуги,Набор и коррекция текста,9,Владивосток
Деловые услуги,Перевод,5,Владивосток
Деловые услуги,Юридические услуги,40,Владивосток
"IT, интернет, телеком",Cоздание и продвижение сайтов,16,Владивосток
"IT, интернет, телеком",Установка и настройка ПО,8,Владивосток
"IT, интернет, телеком",Настройка интернета и сетей,6,Владивосток
"IT, интернет, телеком",Мастер на все случаи,10,Владивосток
"Реклама, полиграфия","Маркетинг, реклама, PR",27,Владивосток
"Реклама, полиграфия","Полиграфия, дизайн",24,Владивосток
Уборка,Вывоз мусора,12,Владивосток
Уборка,Генеральная уборка,5,Владивосток
Уборка,Глажка белья,0,Владивосток
Уборка,Мойка окон,2,Владивосток
Уборка,Простая уборка,12,Владивосток
Уборка,Уборка после ремонта,0,Владивосток
Уборка,Чистка ковров,1,Владивосток
Уборка,Чистка мягкой мебели,3,Владивосток
Бытовые услуги,Изготовление ключей,3,Владивосток
Бытовые услуги,Пошив и ремонт одежды,7,Владивосток
Бытовые услуги,Ремонт часов,0,Владивосток
Бытовые услуги,"Химчистка, стирка",0,Владивосток
Бытовые услуги,Ювелирные услуги,0,Владивосток
"Праздники, мероприятия",,65,Владивосток
Доставка еды и продуктов,Доставка готовой еды,0,Владивосток
Доставка еды и продуктов,Другое,8,Владивосток
Фото- и видеосъёмка,,36,Владивосток
"Няни, сиделки",,6,Владивосток
Уход за животными,,9,Владивосток
Искусство,,27,Владивосток
"Охрана, безопасность",,10,Владивосток
"Доставка, курьеры",,6,Владивосток
Другое,,19,Владивосток
